"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.116673280E2,6.499061202E1,2.548260337E1,8.502054680E0,2.597161865E1,1.159999967E0,2.758999939E2,4.470541953E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.126674235E2,6.499061179E1,2.548257729E1,8.454018386E0,2.592358398E1,1.279999971E0,2.692999878E2,4.482788091E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.136678321E2,6.499061416E1,2.548255185E1,8.670205677E0,2.613977051E1,1.250000000E0,2.788999939E2,4.495224994E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.146674508E2,6.499061690E1,2.548252620E1,8.261576398E0,2.573114014E1,1.289999962E0,2.767999878E2,4.507695776E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.156672518E2,6.499061852E1,2.548249995E1,7.959330347E0,2.542889404E1,1.320000052E0,2.707000122E2,4.521649360E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.166675046E2,6.499062250E1,2.548247180E1,7.899823151E0,2.536938477E1,1.419999957E0,2.767999878E2,4.535500947E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.176675350E2,6.499062495E1,2.548244291E1,7.887982983E0,2.535754395E1,1.440000057E0,2.772000122E2,4.548503463E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.186676683E2,6.499062688E1,2.548241563E1,7.411603857E0,2.488116455E1,1.269999981E0,2.812000122E2,4.561642998E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.196674130E2,6.499062679E1,2.548238768E1,7.169536825E0,2.463909912E1,1.340000033E0,2.702000122E2,4.574603515E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.206671909E2,6.499062679E1,2.548236011E1,7.479899096E0,2.494946289E1,1.320000052E0,2.698999939E2,4.587314925E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.216669755E2,6.499062831E1,2.548233331E1,7.747049897E0,2.521661377E1,1.289999962E0,2.780000000E2,4.601279128E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.226676933E2,6.499062871E1,2.548230362E1,7.949685364E0,2.541925049E1,1.220000029E0,2.752000122E2,4.614902175E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.236672490E2,6.499063155E1,2.548227543E1,7.953775763E0,2.542333984E1,1.279999971E0,2.792000122E2,4.630538044E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.246673531E2,6.499063259E1,2.548224226E1,8.709756349E0,2.617932129E1,1.360000014E0,2.762000122E2,4.646431760E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.256671288E2,6.499063511E1,2.548220898E1,8.730813954E0,2.620037842E1,1.370000005E0,2.777999878E2,4.660586658E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.266677441E2,6.499064037E1,2.548218156E1,8.763165868E0,2.623272705E1,1.340000033E0,2.945000000E2,4.674592823E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.276675646E2,6.499064281E1,2.548215233E1,9.062238758E0,2.653179932E1,1.370000005E0,2.788999939E2,4.688328522E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.286678072E2,6.499064838E1,2.548212625E1,9.105333214E0,2.657489014E1,1.350000024E0,2.660000000E2,4.701700988E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.296672902E2,6.499064633E1,2.548209822E1,9.090803462E0,2.656036377E1,1.299999952E0,2.782999878E2,4.714589676E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.306671033E2,6.499064565E1,2.548207085E1,9.228862880E0,2.669842529E1,1.320000052E0,2.742000122E2,4.728769660E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.316668812E2,6.499064604E1,2.548204070E1,9.101298117E0,2.657086182E1,1.440000057E0,2.746000061E2,4.742672131E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.326676623E2,6.499064536E1,2.548201117E1,8.941872066E0,2.641143799E1,1.389999986E0,2.677999878E2,4.754115794E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.336673540E2,6.499064519E1,2.548198683E1,8.950415510E0,2.641998291E1,1.159999967E0,2.695000000E2,4.766090207E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.346677407E2,6.499064746E1,2.548196193E1,8.632178911E0,2.610174561E1,1.120000005E0,3.060000000E2,4.779540151E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.356671580E2,6.499064866E1,2.548193346E1,8.346228744E0,2.581579590E1,1.340000033E0,2.841000061E2,4.793084693E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.366677927E2,6.499064914E1,2.548190467E1,8.433690992E0,2.590325928E1,1.320000052E0,2.741000061E2,4.805552069E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.376678030E2,6.499064990E1,2.548187821E1,8.133336239E0,2.560290527E1,1.259999990E0,2.713999939E2,4.816776884E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.386673023E2,6.499064787E1,2.548185482E1,8.129487910E0,2.559906006E1,1.230000019E0,2.637999878E2,4.825442125E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.396677065E2,6.499064801E1,2.548183639E1,8.248932835E0,2.571850586E1,8.799999952E-1,2.797999878E2,4.846710173E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.406673216E2,6.499063460E1,2.548180413E1,8.427141573E0,2.589672852E1,2.220000029E0,2.238999939E2,4.857862488E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.416668730E2,6.499062868E1,2.548178498E1,8.770213775E0,2.623980713E1,1.110000014E0,2.363000031E2,4.871470678E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.426675607E2,6.499063938E1,2.548179903E1,8.657126100E0,2.612670898E1,0.000000000E0,NaN,4.881387808E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.436674134E2,6.499064741E1,2.548180821E1,8.650297946E0,2.611987305E1,0.000000000E0,NaN,4.883848744E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.446673559E2,6.499064945E1,2.548181024E1,8.648835063E0,2.611840820E1,0.000000000E0,NaN,4.884454716E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.456673254E2,6.499064998E1,2.548181054E1,8.645844838E0,2.611541748E1,0.000000000E0,NaN,4.884612154E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.466677017E2,6.499065012E1,2.548181049E1,8.641755606E0,2.611132812E1,0.000000000E0,NaN,4.884685938E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.476675662E2,6.499065015E1,2.548181035E1,8.644258067E0,2.611383057E1,0.000000000E0,NaN,4.884794630E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.486677736E2,6.499065016E1,2.548181012E1,8.653657478E0,2.612322998E1,0.000000000E0,NaN,4.884940783E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.496668620E2,6.499065017E1,2.548180981E1,8.665498291E0,2.613507080E1,0.000000000E0,NaN,4.885054082E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.506669067E2,6.499065022E1,2.548180960E1,8.666535922E0,2.613610840E1,0.000000000E0,NaN,4.885114719E-1,3.790092468E0,2.500000000E0,3.700000000E1
