"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.093913750E0,1.059256298E0,4.045887315E-1,-1.975003506E0
3.103892750E0,7.025137246E-1,6.986867219E-1,-1.425885637E0
3.113871750E0,2.796613611E-1,8.290767074E-1,-8.280359030E-1
3.123851750E0,-3.420708865E-2,9.139426106E-1,-3.346525240E-1
3.133830750E0,-1.903221917E-1,1.085240301E0,1.144171464E-1
3.143810750E0,-4.443705556E-1,1.413677235E0,5.862564594E-1
3.153789750E0,-6.200742696E-1,1.818534939E0,8.601996821E-1
3.163769750E0,-5.844926102E-1,2.160043323E0,8.903233677E-1
3.173748750E0,-4.431120886E-1,2.204207343E0,8.126670814E-1
3.183728750E0,-2.427265464E-1,1.928747937E0,6.603038442E-1
3.193707750E0,-5.337802570E-2,1.572902765E0,5.536740196E-1
3.203687750E0,6.922328576E-2,1.323761677E0,7.332613081E-1
3.213666750E0,1.784862578E-1,1.236632316E0,1.102308324E0
3.223645750E0,1.185330015E-1,1.324214836E0,1.670400993E0
3.233625750E0,-1.483625722E-1,1.341270579E0,2.378752577E0
3.243604750E0,-2.988719496E-1,1.203103797E0,3.062195023E0
3.253584750E0,-2.883297122E-1,9.883595395E-1,3.712279689E0
3.263563750E0,3.863840103E-3,9.241851783E-1,4.114327805E0
3.273543750E0,5.289151543E-1,1.148783748E0,3.910404405E0
3.283522750E0,7.039068237E-1,1.239116213E0,3.007254000E0
3.293502750E0,4.402910994E-1,1.138395585E0,1.848826439E0
3.303481750E0,4.977123651E-1,1.367818108E0,1.107907033E0
3.313461750E0,1.110486605E0,1.806630592E0,1.068366991E0
3.323440750E0,1.702473263E0,1.935835347E0,1.195559719E0
3.333420750E0,1.868212883E0,1.543265567E0,1.275298784E0
3.343399750E0,1.760246531E0,8.215460783E-1,1.415603893E0
3.353379750E0,1.683327725E0,1.231417769E-1,1.649996549E0
3.363358750E0,1.763493051E0,-2.907674164E-1,1.737270920E0
3.373337750E0,1.789040706E0,-5.643042576E-1,1.550224923E0
3.383317750E0,1.659377822E0,-8.726875806E-1,1.264631124E0
3.393296750E0,1.466607693E0,-1.129052319E0,9.912492335E-1
3.403276750E0,1.049104655E0,-1.197093444E0,7.459994674E-1
3.413255750E0,4.431572583E-1,-1.073425418E0,5.537763458E-1
3.423235750E0,2.254320905E-2,-1.010139833E0,4.114615488E-1
3.433214750E0,-2.169097006E-1,-1.145062580E0,2.048712337E-1
3.443194750E0,-3.704578760E-1,-1.371907650E0,-1.246450961E-1
3.453173750E0,-2.863977921E-1,-1.565882598E0,-3.901917171E-1
3.463153750E0,-8.371473268E-2,-1.675506781E0,-7.466783291E-1
3.473132750E0,-3.175959036E-2,-1.508830145E0,-1.168475416E0
3.483112750E0,-1.913081785E-1,-1.095095199E0,-1.549109275E0
3.493091750E0,-4.228758985E-1,-7.401329559E-1,-1.805330756E0
3.503071750E0,-5.376653298E-1,-5.697281349E-1,-1.929653086E0
3.513050750E0,-7.030719875E-1,-5.328596860E-1,-1.957477062E0
3.523030750E0,-8.657600918E-1,-6.934265667E-1,-2.047438229E0
3.533009750E0,-9.932219379E-1,-8.553605264E-1,-2.256789014E0
3.542988750E0,-1.009538082E0,-8.990456593E-1,-2.622051712E0
3.552968750E0,-8.487403820E-1,-8.846030366E-1,-3.057651737E0
3.562947750E0,-7.013086865E-1,-8.094616377E-1,-3.459993383E0
