"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.915077083E0,-1.263570673E1,-9.539932896E0,4.852341730E0,1.655948744E1
1.925057083E0,-1.226619427E1,-9.410885432E0,5.320009639E0,1.635013116E1
1.935037083E0,-1.059062902E1,-9.524742415E0,5.896362669E0,1.541587603E1
1.945017083E0,-7.779571322E0,-9.531708788E0,6.987379435E0,1.414915806E1
1.954997083E0,-4.975425035E0,-9.385649434E0,8.346478175E0,1.350958798E1
1.964977083E0,-2.820023232E0,-9.234878978E0,9.200096816E0,1.333706498E1
1.974957083E0,-1.260160927E0,-8.753872985E0,9.596251523E0,1.305014717E1
1.984937083E0,3.589757717E-1,-8.440556366E0,9.633421104E0,1.281306589E1
1.994917083E0,1.980850137E0,-8.398006178E0,9.097074723E0,1.253822330E1
2.004897083E0,4.041398408E0,-8.205994726E0,8.283432326E0,1.234044171E1
2.014877083E0,6.890633744E0,-7.923481239E0,7.786004428E0,1.307227040E1
2.024857083E0,1.035399220E1,-7.497363060E0,7.629726480E0,1.488718689E1
2.034837083E0,1.316485635E1,-6.594954666E0,7.179324229E0,1.638137864E1
2.044817083E0,1.465075196E1,-5.121422408E0,5.898008076E0,1.660301177E1
2.054797083E0,1.613372280E1,-4.046350999E0,3.754474951E0,1.705186353E1
2.064777083E0,1.687802073E1,-2.808501878E0,1.437835591E0,1.717040004E1
2.074757083E0,1.641931250E1,-7.422133952E-1,-3.177295125E-1,1.643915010E1
2.084737083E0,1.525044825E1,1.033181956E0,-1.529334722E0,1.536172196E1
2.094717083E0,1.359520207E1,1.941398388E0,-2.130103971E0,1.389733391E1
2.104697083E0,1.214603867E1,2.071748613E0,-2.056044161E0,1.249182594E1
2.114677083E0,1.177064274E1,1.689078169E0,-1.807686453E0,1.202783214E1
2.124657083E0,1.172594078E1,1.530002913E0,-1.420155365E0,1.191030803E1
2.134637083E0,1.075152217E1,1.579984912E0,-1.658116577E0,1.099276726E1
2.144617083E0,9.744338692E0,1.571590065E0,-2.790134604E0,1.025704065E1
2.154597083E0,8.500563417E0,1.612609452E0,-3.594101028E0,9.368972721E0
2.164577083E0,6.807884533E0,1.669934970E0,-3.844013949E0,7.994524242E0
2.174557083E0,5.182830452E0,1.555625412E0,-3.588044482E0,6.492747117E0
2.184537083E0,3.869961261E0,1.294817959E0,-2.846794708E0,4.975680237E0
2.194517083E0,3.145044222E0,9.080334145E-1,-1.921073467E0,3.795569931E0
2.204497083E0,3.110121142E0,6.115409893E-1,-1.030073649E0,3.332849775E0
2.214477083E0,3.053001738E0,4.622288293E-1,-5.617063397E-1,3.138469232E0
2.224457083E0,2.551357413E0,1.237013555E-1,-4.203400341E-1,2.588708639E0
2.234437083E0,1.918434033E0,-1.897824937E-1,-3.149696632E-1,1.953359267E0
2.244417083E0,1.478437195E0,-5.111296785E-1,-3.460119829E-1,1.602109353E0
2.254397083E0,1.212759596E0,-7.579657942E-1,-1.787921403E-1,1.441271873E0
2.264377083E0,1.044936906E0,-9.086666679E-1,-8.375252031E-2,1.387293313E0
2.274357083E0,8.264752811E-1,-1.111045818E0,-1.427352118E-1,1.392069517E0
2.284337083E0,7.155199787E-1,-1.231526527E0,-2.873560777E-1,1.452996883E0
2.294317083E0,7.527509549E-1,-1.294715048E0,-3.441051328E-1,1.536661771E0
2.304297083E0,8.421747628E-1,-1.364453620E0,-6.009341766E-1,1.712341641E0
2.314277083E0,1.032349897E0,-1.364034374E0,-9.731345594E-1,1.968076969E0
2.324257083E0,1.008441802E0,-1.291739400E0,-1.180605465E0,2.019746224E0
2.334237083E0,6.118620014E-1,-1.313536651E0,-1.476917211E0,2.069066961E0
2.344217083E0,3.302603880E-1,-1.555961042E0,-1.657276917E0,2.297096748E0
2.354197083E0,5.896937451E-1,-1.841797501E0,-1.520567261E0,2.460097873E0
2.364177083E0,1.133369611E0,-1.959365712E0,-1.261588233E0,2.591379080E0
2.374157083E0,1.943425910E0,-2.027304511E0,-1.209039305E0,3.057555215E0
2.384137083E0,2.200564528E0,-1.787193863E0,-1.491250491E0,3.203181882E0
2.394117083E0,1.780146214E0,-1.522923689E0,-2.232117857E0,3.235825588E0
2.404097083E0,1.230022039E0,-1.548939121E0,-3.023848983E0,3.613285110E0
2.414077083E0,8.320991331E-1,-1.778896079E0,-3.487375309E0,4.002330168E0
2.424057083E0,6.379511082E-1,-1.886393631E0,-3.572035975E0,4.089609218E0
2.434037083E0,8.904426509E-1,-2.188447927E0,-3.635618598E0,4.335886880E0
2.444017083E0,2.000852292E0,-2.215326993E0,-3.755694680E0,4.797533336E0
2.453998083E0,3.340497345E0,-1.399027036E0,-3.749663862E0,5.213077617E0
2.463978083E0,4.619697976E0,-4.329646844E-1,-3.840172913E0,6.022955737E0
2.473958083E0,4.755198428E0,4.077690321E-1,-4.156866299E0,6.329117245E0
2.483938083E0,4.604451361E0,3.350203139E-1,-5.004662282E0,6.808807202E0
2.493918083E0,4.774829285E0,-5.584856933E-1,-5.793471555E0,7.528294204E0
2.503898083E0,5.047818827E0,-1.002161892E0,-6.129846668E0,8.003738098E0
2.513878083E0,5.171116725E0,-9.738555211E-1,-5.981565957E0,7.966678985E0
2.523858083E0,5.473441747E0,-7.551182002E-1,-5.057981873E0,7.490790925E0
2.533838083E0,6.642662684E0,-8.170989785E-1,-3.835444854E0,7.713835330E0
2.543818083E0,7.906704993E0,-1.088234661E0,-2.670456133E0,8.416149623E0
2.553798083E0,8.656815053E0,-8.980235660E-1,-1.881842158E0,8.904393471E0
2.563778083E0,1.003838406E1,-2.183867803E-1,-1.007402459E0,1.009116975E1
2.573758083E0,1.144161758E1,7.426542753E-1,-4.202130765E-1,1.147339214E1
2.583738083E0,1.205277558E1,1.114557948E0,-2.332199970E-1,1.210644581E1
2.593718083E0,1.290632756E1,9.864051077E-1,1.441078457E-1,1.294476934E1
2.603698083E0,1.409311236E1,8.361322501E-1,7.797571975E-1,1.413941139E1
2.613678083E0,1.518055531E1,1.159809404E0,1.431391667E0,1.529193577E1
2.623658833E0,1.617508249E1,1.649368266E0,2.155152712E0,1.640117046E1
2.633638833E0,1.714666052E1,1.896153803E0,2.934934468E0,1.749906302E1
2.643618833E0,1.798343567E1,1.802822593E0,3.726073855E0,1.845366507E1
2.653598833E0,1.819468622E1,1.425411720E0,4.362411717E0,1.876456877E1
2.663578833E0,1.770463926E1,1.072704748E0,4.537810645E0,1.830837711E1
2.673558833E0,1.698233505E1,1.187043250E-1,4.459660268E0,1.755854106E1
2.683538833E0,1.561300485E1,-1.539777996E0,4.569828828E0,1.634075189E1
2.693519833E0,1.348090654E1,-3.723927635E0,5.128374748E0,1.489639909E1
2.703498833E0,1.103115240E1,-6.373248714E0,6.182805485E0,1.416092179E1
2.713479833E0,8.450282040E0,-8.843671015E0,8.068514407E0,1.465328319E1
2.723459833E0,5.643033805E0,-1.084017181E1,1.038086366E1,1.603482104E1
2.733439833E0,2.800177197E0,-1.257824965E1,1.236099401E1,1.785630223E1
2.743419833E0,2.577595916E-1,-1.339968755E1,1.370622900E1,1.916973604E1
2.753399833E0,-2.150615419E0,-1.334011378E1,1.416639669E1,1.957729750E1
2.763379833E0,-4.784514906E0,-1.317463758E1,1.411093585E1,1.988922242E1
2.773359833E0,-6.904987489E0,-1.359355783E1,1.348541007E1,2.035485081E1
2.783339833E0,-8.582320940E0,-1.473290768E1,1.257754330E1,2.118748208E1
2.793319833E0,-1.038828378E1,-1.564875122E1,1.167967293E1,2.211819646E1
2.803299833E0,-1.254940767E1,-1.563880043E1,1.132430255E1,2.302823354E1
2.813279833E0,-1.435428527E1,-1.482176197E1,1.177570059E1,2.375704649E1
