"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.916317083E0,-2.659558969E0,2.145107780E0,3.151579070E0,4.648353680E0
2.926296083E0,-2.416089973E0,1.839953874E0,3.339419703E0,4.513828195E0
2.936276083E0,-2.095521052E0,1.475633748E0,3.381348917E0,4.242902773E0
2.946255083E0,-1.697592884E0,1.001214643E0,3.017462654E0,3.604071757E0
2.956234083E0,-1.014824038E0,4.252200472E-1,1.812336305E0,2.120198764E0
2.966213083E0,1.793982773E-1,-3.277498859E-1,-5.059934112E-1,6.289936898E-1
2.976192083E0,1.618211523E0,-1.586635535E0,-3.459705116E0,4.135889305E0
2.986172083E0,2.687527664E0,-3.170872543E0,-5.754548979E0,7.098737323E0
2.996151083E0,3.516733887E0,-4.401540699E0,-7.308335441E0,9.227824482E0
3.006130083E0,4.186682421E0,-4.566144497E0,-7.760134592E0,9.929636154E0
3.016109083E0,4.205454907E0,-3.458995848E0,-6.635541945E0,8.583759092E0
3.026088083E0,3.455801514E0,-1.600105766E0,-4.709286675E0,6.056424982E0
3.036068083E0,2.670929173E0,1.492829239E-1,-2.994831591E0,4.015615058E0
3.046047083E0,2.078807079E0,1.293554960E0,-1.510388428E0,2.876803175E0
3.056026083E0,1.610392334E0,1.755385010E0,-5.813114691E-1,2.452073210E0
3.066005083E0,1.272026243E0,9.598999715E-1,-1.594664347E-1,1.601526854E0
3.075985083E0,4.318570755E-1,-1.025347856E0,6.908695793E-1,1.309633359E0
3.085964083E0,-4.285916980E-1,-2.692010724E0,1.174865838E0,2.968319781E0
3.095943083E0,-1.123524069E0,-4.497737921E0,9.839425528E-1,4.739208340E0
3.105922083E0,-1.679675992E0,-6.818283806E0,7.996079099E-1,7.067508635E0
3.115901083E0,-2.432777780E0,-8.893286394E0,7.319450998E-1,9.249037476E0
3.125881083E0,-3.109058703E0,-9.645744111E0,8.793393731E-1,1.017250526E1
3.135860083E0,-2.557306078E0,-8.602324850E0,1.378319707E0,9.079624024E0
3.145839083E0,-1.351714730E0,-6.930906442E0,1.906537873E0,7.314334110E0
3.155818083E0,-4.208869681E-1,-4.935557549E0,2.203065966E0,5.421288944E0
3.165797083E0,-1.783522104E-1,-2.500084641E0,2.251514826E0,3.369206395E0
3.175777083E0,-3.136107337E-1,-1.362179053E-1,1.940211403E0,1.970108449E0
3.185756083E0,-6.125804780E-1,2.164684843E0,1.449134751E0,2.676024446E0
3.195735083E0,-1.011832894E0,4.215712677E0,1.024374880E0,4.454815718E0
